level,lesson,question_vi,answer_zh,explanation
"HSK 1","1","Tôi thường học tiếng Trung.","我通常学习中文。","学习中文 = học tiếng Trung"
"HSK 1","1","Tôi thường uống nước.","我通常喝水。","喝水 = uống nước"
"HSK 1","1","Tôi thường ăn cơm.","我通常吃饭。","吃饭 = ăn cơm"
"HSK 1","1","Tôi thường xem tivi.","我通常看电视。","看电视 = xem tivi"
"HSK 1","1","Tôi thường nghe nhạc.","我通常听音乐。","听音乐 = nghe nhạc"
"HSK 1","1","Tôi thường đọc sách.","我通常看书。","看书 = đọc sách"
"HSK 1","1","Tôi thường đi học.","我通常上学。","上学 = đi học"
"HSK 1","1","Tôi thường về nhà.","我通常回家。","回家 = về nhà"
"HSK 1","1","Tôi thường mua đồ.","我通常买东西。","买东西 = mua đồ"
"HSK 1","1","Tôi thường ngủ.","我通常睡觉。","睡觉 = ngủ"
"HSK 1","2","Tôi muốn học tiếng Trung.","我想学习中文。","学习中文 = học tiếng Trung"
"HSK 1","2","Tôi muốn uống nước.","我想喝水。","喝水 = uống nước"
"HSK 1","2","Tôi muốn ăn cơm.","我想吃饭。","吃饭 = ăn cơm"
"HSK 1","2","Tôi muốn xem tivi.","我想看电视。","看电视 = xem tivi"
"HSK 1","2","Tôi muốn nghe nhạc.","我想听音乐。","听音乐 = nghe nhạc"
"HSK 1","2","Tôi muốn đọc sách.","我想看书。","看书 = đọc sách"
"HSK 1","2","Tôi muốn đi học.","我想上学。","上学 = đi học"
"HSK 1","2","Tôi muốn về nhà.","我想回家。","回家 = về nhà"
"HSK 1","2","Tôi muốn mua đồ.","我想买东西。","买东西 = mua đồ"
"HSK 1","2","Tôi muốn ngủ.","我想睡觉。","睡觉 = ngủ"
"HSK 1","3","Tôi đang học tiếng Trung.","我正在学习中文。","学习中文 = học tiếng Trung"
"HSK 1","3","Tôi đang uống nước.","我正在喝水。","喝水 = uống nước"
"HSK 1","3","Tôi đang ăn cơm.","我正在吃饭。","吃饭 = ăn cơm"
"HSK 1","3","Tôi đang xem tivi.","我正在看电视。","看电视 = xem tivi"
"HSK 1","3","Tôi đang nghe nhạc.","我正在听音乐。","听音乐 = nghe nhạc"
"HSK 1","3","Tôi đang đọc sách.","我正在看书。","看书 = đọc sách"
"HSK 1","3","Tôi đang đi học.","我正在上学。","上学 = đi học"
"HSK 1","3","Tôi đang về nhà.","我正在回家。","回家 = về nhà"
"HSK 1","3","Tôi đang mua đồ.","我正在买东西。","买东西 = mua đồ"
"HSK 1","3","Tôi đang ngủ.","我正在睡觉。","睡觉 = ngủ"
"HSK 1","4","Nếu có thời gian, tôi sẽ học tiếng Trung.","如果有时间，我就会学习中文。","学习中文 = học tiếng Trung"
"HSK 1","4","Nếu có thời gian, tôi sẽ uống nước.","如果有时间，我就会喝水。","喝水 = uống nước"
"HSK 1","4","Nếu có thời gian, tôi sẽ ăn cơm.","如果有时间，我就会吃饭。","吃饭 = ăn cơm"
"HSK 1","4","Nếu có thời gian, tôi sẽ xem tivi.","如果有时间，我就会看电视。","看电视 = xem tivi"
"HSK 1","4","Nếu có thời gian, tôi sẽ nghe nhạc.","如果有时间，我就会听音乐。","听音乐 = nghe nhạc"
"HSK 1","4","Nếu có thời gian, tôi sẽ đọc sách.","如果有时间，我就会看书。","看书 = đọc sách"
