App_level,Book_Level,Quest_Name,Quiz_ID,Quiz_Name,Vocab,English_Meaning,Vietnamese_Meaning,Word_Type,Photo,Component
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-01,Hello,您好,Hello (polite),Xin chào (lịch sự),Greeting,,"您好 = 您 (you) + 好 (good)
您 =  亻 (human) + ⺈ (knife) + 小 (small) + 心 (heart)
好 = 女 (female) + 子 (child)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-01,Hello,您,You (polite),Bạn / Ngài (lịch sự),Pronoun,,"您 = 你 (you) + 心 (heart, written as 忄)
 你 = 亻 (human/person) + 尔 (that)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-01,Hello,你好,Hello,Xin chào,Greeting,,"你好 = 你 (you) + 好 (good)
 你 = 亻(human/person) + 尔 (that)
 好 = 女 (female) + 子 (child)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-01,Hello,好,Good,Tốt,Adjective,https://flashcardy.com/?card=cmgmd7vrz0005txcstavofvgb,好 = 女 (female) + 子 (child)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-01,Hello,很,Very,Rất,Adverb,,彳 (step) + 艮 (stopping)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-01,Hello,我,I / Me,Tôi,Pronoun,,我 = 手 (hand) + 戈 (spear)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-02,Good morning,早上,Morning,Buổi sáng,Noun,https://flashcardy.com/?card=cmgmdeeyv0009txcsjkqk6vbk,"早 = 日 (sun) + 十 (ten)
 上 = 一 (one) + 丨 (line)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-02,Good morning,今天,Today,Hôm nay,Noun,,今 = 人 (person) + 乛; 天 = 一 (one) + 大 (big)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-02,Good morning,怎么样,How,Như thế nào,Phrase,https://flashcardy.com/?card=cmgmd3zpl00079bio0ev2ojf4,"怎 = 心 (heart) + 乍 (sudden/start)
 么 = 厶 (private) + 丿 (slash)
 样 = 木 (wood) + 羊 (sheep)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-02,Good morning,谢谢,Thank you,Cảm ơn,Verb,,谢 = 讠 (speech) + 射 (shoot)
