level,lesson,question_vi,answer_zh,words,explanation
HSK 1,1,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,1,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,1,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,1,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,1,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,1,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
HSK 1,1,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,1,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,1,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,1,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 1,2,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,2,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,2,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,2,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,2,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,2,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
HSK 1,2,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,2,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,2,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,2,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 1,3,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,3,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,3,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,3,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,3,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,3,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
HSK 1,3,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,3,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,3,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,3,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 1,4,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,4,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,4,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,4,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,4,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,4,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
HSK 1,4,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,4,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,4,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,4,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 1,5,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,5,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,5,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,5,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,5,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,5,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
HSK 1,5,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,5,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,5,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,5,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 1,6,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,6,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,6,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,6,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,6,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,6,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
HSK 1,6,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,6,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,6,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,6,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 1,7,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,7,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,7,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,7,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,7,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,7,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
HSK 1,7,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,7,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,7,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,7,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 1,8,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,8,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,8,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,8,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,8,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,8,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
HSK 1,8,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,8,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,8,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,8,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 1,9,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,9,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,9,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,9,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,9,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,9,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
