level,lesson,question_vi,answer_zh,explanation
"HSK 2","1","Tôi thường đi làm.","我通常上班。","上班 = đi làm"
"HSK 2","1","Tôi thường đi mua đồ.","我通常买东西。","买东西 = đi mua đồ"
"HSK 2","1","Tôi thường nấu ăn.","我通常做饭。","做饭 = nấu ăn"
"HSK 2","1","Tôi thường chạy bộ.","我通常跑步。","跑步 = chạy bộ"
"HSK 2","1","Tôi thường đọc sách.","我通常看书。","看书 = đọc sách"
"HSK 2","1","Tôi thường xem phim.","我通常看电影。","看电影 = xem phim"
"HSK 2","1","Tôi thường học từ mới.","我通常学习生词。","学习生词 = học từ mới"
"HSK 2","1","Tôi thường gọi điện.","我通常打电话。","打电话 = gọi điện"
"HSK 2","1","Tôi thường đi du lịch.","我通常旅游。","旅游 = đi du lịch"
"HSK 2","1","Tôi thường nghe nhạc.","我通常听音乐。","听音乐 = nghe nhạc"
"HSK 2","2","Tôi muốn đi làm.","我想上班。","上班 = đi làm"
"HSK 2","2","Tôi muốn đi mua đồ.","我想买东西。","买东西 = đi mua đồ"
"HSK 2","2","Tôi muốn nấu ăn.","我想做饭。","做饭 = nấu ăn"
"HSK 2","2","Tôi muốn chạy bộ.","我想跑步。","跑步 = chạy bộ"
"HSK 2","2","Tôi muốn đọc sách.","我想看书。","看书 = đọc sách"
"HSK 2","2","Tôi muốn xem phim.","我想看电影。","看电影 = xem phim"
"HSK 2","2","Tôi muốn học từ mới.","我想学习生词。","学习生词 = học từ mới"
"HSK 2","2","Tôi muốn gọi điện.","我想打电话。","打电话 = gọi điện"
"HSK 2","2","Tôi muốn đi du lịch.","我想旅游。","旅游 = đi du lịch"
"HSK 2","2","Tôi muốn nghe nhạc.","我想听音乐。","听音乐 = nghe nhạc"
"HSK 2","3","Tôi đang đi làm.","我正在上班。","上班 = đi làm"
"HSK 2","3","Tôi đang đi mua đồ.","我正在买东西。","买东西 = đi mua đồ"
"HSK 2","3","Tôi đang nấu ăn.","我正在做饭。","做饭 = nấu ăn"
"HSK 2","3","Tôi đang chạy bộ.","我正在跑步。","跑步 = chạy bộ"
"HSK 2","3","Tôi đang đọc sách.","我正在看书。","看书 = đọc sách"
"HSK 2","3","Tôi đang xem phim.","我正在看电影。","看电影 = xem phim"
"HSK 2","3","Tôi đang học từ mới.","我正在学习生词。","学习生词 = học từ mới"
